排名,专业名称,专业层次,专业类别,开设院校,人气值,MBTI,壹心理
576,水土保持技术,专科（高职）,水土保持与水环境类,开设院校,20640,ESFJ/ISTJ,现实型
574,经济林培育与利用,专科（高职）,林业类,开设院校,20640,ISTJ/ISFJ,现实型
578,国际文化贸易,专科（高职）,经济贸易类,开设院校,20640,ESTJ/ISFJ,现实型
577,烟花爆竹技术与管理,专科（高职）,化工技术类,开设院校,20640,INTJ/ESFJ,研究型
580,水族科学与技术,专科（高职）,渔业类,开设院校,20639,INTJ/ISTJ/ESFJ/ENFP,研究型、现实型
583,港口与航道工程技术,专科（高职）,水上运输类,开设院校,20639,ISTP,
582,粮食工程技术,专科（高职）,粮食工业类,开设院校,20639,ISTP/ESTP,
581,硅材料制备技术,专科（高职）,非金属材料类,开设院校,20639,ISTP,
587,服务外包,专科（高职）,经济贸易类,开设院校,20638,ESTJ/ISFJ,现实型
585,建筑材料检测技术,专科（高职）,建筑材料类,开设院校,20638,ISTP/INTP/ENTJ,
586,通用航空器维修,专科（高职）,航空运输类,开设院校,20638,ISTP/INTP,
584,光伏材料制备技术,专科（高职）,非金属材料类,开设院校,20638,ISTP,
589,工业自动化仪表,专科（高职）,自动化类,开设院校,20637,ISTP,
591,冷链物流技术与管理,专科（高职）,物流类,开设院校,20637,ESTP,管理型
592,体育艺术表演,专科（高职）,体育类,开设院校,20637,ISTP,
590,涂装防护技术,专科（高职）,化工技术类,开设院校,20637,INTJ/ENTJ,研究型、现实型
588,非金属矿物材料技术,专科（高职）,非金属材料类,开设院校,20637,ISTP,
593,品牌代理经营,专科（高职）,工商管理类,开设院校,20636,ISFJ/ISTP/ESFJ,管理型
594,模特与礼仪,专科（高职）,表演艺术类,开设院校,20636,INTJ/INFP/ENFP,艺术型
598,应用泰语,专科（高职）,语言类,开设院校,20635,ESTP/ESFP,艺术型
595,林业调查与信息处理,专科（高职）,林业类,开设院校,20635,ISTJ/ISFJ,现实型、研究型
599,社区矫正,专科（高职）,法律执行类,开设院校,20635,INTJ/ESTP,社会型
597,海洋工程技术,专科（高职）,船舶与海洋工程装备类,开设院校,20635,ISTJ/ISTP,现实型、管理型
596,地理国情监测技术,专科（高职）,测绘地理信息类,开设院校,20635,ISTJ/INTJ,研究型
601,煤化工技术,专科（高职）,化工技术类,开设院校,20634,INTJ/ENTJ,研究型、现实型
600,金属材料质量检测,专科（高职）,黑色金属材料类,开设院校,20634,INTP/ISTP,研究型
602,戏曲导演,专科（高职）,表演艺术类,开设院校,20634,INTJ/INFP/ENFP,艺术型
607,兽药制药技术,专科（高职）,药品制造类,开设院校,20633,INTJ/ISFJ,研究型
605,水电站电气设备,专科（高职）,水利水电设备类,开设院校,20633,ESFJ/ISTJ,现实型
606,水利机电设备运行与管理,专科（高职）,水利水电设备类,开设院校,20633,ESFJ/ISTJ,现实型
604,机电排灌工程技术,专科（高职）,水利工程与管理类,开设院校,20633,ISTJ/ISTP/ESFJ,研究型、管理型
608,飞机结构修理,专科（高职）,航空运输类,开设院校,20633,ISTP/INTP,
