排名,专业名称,专业层次,专业类别,开设院校,人气值,MBTI,壹心理
809,旅游管理,专科（高职）,旅游类,开设院校,8405,ESFP/ISFP/ISFJ,管理型
810,特殊教育,专科（高职）,教育类,开设院校,8387,ENFP/ENFJ,社会型
811,财务管理,专科（高职）,财务会计类,开设院校,8291,ISTJ,管理型
812,核物理,本科,物理学类,开设院校,8277,ISTP/INTP,
813,园艺技术,专科（高职）,农业类,开设院校,8256,INTJ/ISTP/ESFP,现实型、研究型
814,表演,本科,戏剧与影视学类,开设院校,8225,ENFP/ESFP,艺术型
815,民政管理,专科（高职）,公共管理类,开设院校,8133,ENTJ/ISFJ,管理型
816,药物制剂,本科,药学类,开设院校,8119,INTJ/ISFJ,研究型
817,经济犯罪侦查,专科（高职）,侦查类,开设院校,8111,INTJ/ESTP/ENTJ,社会型
818,测绘工程技术,专科（高职）,测绘地理信息类,开设院校,7997,ISTJ/INTJ,研究型
819,物流工程,本科,物流管理与工程类,开设院校,7959,ESTP,管理型
820,人物形象设计,专科（高职）,艺术设计类,开设院校,7897,ISFP,艺术型
821,药事管理,本科,药学类,开设院校,7887,INTJ/ISFJ,研究型
822,金属材料与热处理技术,专科（高职）,机械设计制造类,开设院校,7866,ISTP,
823,城市管理,本科,公共管理类,开设院校,7843,ENTJ/ISFJ,管理型
824,应用德语,专科（高职）,语言类,开设院校,7839,ESTP/ESFP,艺术型
825,人力资源管理,专科（高职）,公共管理类,开设院校,7809,ENTJ/ISFJ,管理型
826,普什图语,本科,外国语言文学类,开设院校,7749,ESTP/INFJ,艺术型
827,外交学,本科,政治学类,开设院校,7733,ISFJ/INTJ/ENTJ,社会型
828,应用法语,专科（高职）,语言类,开设院校,7722,ESTP/ESFP,艺术型
829,图书档案管理,专科（高职）,文化服务类,开设院校,7721,INFP/ESFJ,管理型
830,环境科学与工程,本科,环境科学与工程类,开设院校,7711,INTJ/ENTJ,研究型、现实型
831,科学教育,本科,教育学类,开设院校,7681,ENFP/ENFJ,社会型
832,助产,专科（高职）,护理类,开设院校,7625,INTJ/ISFJ,社会型
833,计算机信息管理,专科（高职）,计算机类,开设院校,7604,INTP/INTJ,研究型、管理型
834,安全工程,本科,安全科学与工程类,开设院校,7596,ISTJ/INTJ,研究型
835,艺术设计,专科（高职）,艺术设计类,开设院校,7581,ISFP,艺术型
836,绘画,本科,美术学类,开设院校,7577,INTJ/INFP,艺术型
837,工程力学,本科,力学类,开设院校,7542,ISTP/INTJ,
838,飞行器设计与工程,本科,航空航天类,开设院校,7533,ISTP/INTP,
839,家政学,本科,社会学类,开设院校,7532,ISFJ/ESTJ,社会型
840,地质工程,本科,地质类,开设院校,7504,INTJ/ISTJ/INTP,研究型
841,司法鉴定技术,专科（高职）,司法技术类,开设院校,7480,ESTP/INTJ,现实型、社会型
842,植物保护,本科,植物生产类,开设院校,7457,INTJ/ENFJ/ENFP,研究型
843,能源与环境系统工程,本科,能源动力类,开设院校,7393,ISTP,
844,医学检验技术,专科（高职）,医学技术类,开设院校,7388,ESFJ/ISFJ,研究型
845,应用西班牙语,专科（高职）,语言类,开设院校,7377,ESTP/ESFP,艺术型
846,广告设计与制作,专科（高职）,艺术设计类,开设院校,7248,ISFP,艺术型
847,园林技术,专科（高职）,林业类,开设院校,7227,ISTJ/ISFJ,现实型、研究型
848,建筑电气与智能化,本科,土木类,开设院校,7198,ISTJ/INTP,研究型
849,染整技术,专科（高职）,纺织服装类,开设院校,7155,ISTP/ESFP,
850,无机非金属材料工程,本科,材料类,开设院校,7150,ISTP/INTJ,
851,电力系统自动化技术,专科（高职）,电力技术类,开设院校,7098,ISTP/INTJ,
852,公安视听技术,本科,公安技术类,开设院校,7089,ISFJ/INTP/ESTP,研究型
853,应用生物科学,本科,植物生产类,开设院校,7083,INTJ/ENFJ/ENFP,研究型
854,园林工程技术,专科（高职）,建筑设计类,开设院校,7048,INTP/ISFP,现实型
855,地球物理学,本科,地球物理学类,开设院校,7017,INTJ/ISTP,研究型
856,野生动物与自然保护区管理,本科,自然保护与环境生态类,开设院校,6894,ENTJ/INTJ,社会型
857,地球信息科学与技术,本科,地质学类,开设院校,6868,INTJ,研究型
858,资产评估,本科,工商管理类,开设院校,6853,ISFJ/ISTP/ESFJ,管理型
859,禁毒学,本科,公安学类,开设院校,6848,ESTP/ISFJ,现实型
860,戏剧影视文学,本科,戏剧与影视学类,开设院校,6837,ENFP/ESFP,艺术型
861,动物科学,本科,动物生产类,开设院校,6828,INTJ/ESFJ,研究型
862,国际金融,专科（高职）,金融类,开设院校,6774,ISTJ/INTP,研究型
863,商检技术,专科（高职）,工商管理类,开设院校,6755,ISFJ/ISTP/ESFJ,管理型
864,国际贸易实务,专科（高职）,经济贸易类,开设院校,6722,ESTJ/ISFJ,现实型
865,茶学,本科,植物生产类,开设院校,6696,INTJ/ENFJ/ENFP,研究型
866,西餐工艺,专科（高职）,餐饮类,开设院校,6649,ESTP/ESFP,艺术型
867,民航安全技术管理,专科（高职）,航空运输类,开设院校,6646,ISTP/INTP,
868,体育教育,专科（高职）,教育类,开设院校,6598,ENFP/ENFJ,社会型
869,国际经济与贸易,本科,经济与贸易类,开设院校,6590,INTJ/ESTP,社会型
870,运动训练,本科,体育学类,开设院校,6553,ISTP,
871,冰岛语,本科,外国语言文学类,开设院校,6472,ESTP/INFJ,艺术型
872,司法信息技术,专科（高职）,司法技术类,开设院校,6457,ESTP/INTJ,现实型、社会型
873,分子科学与工程,本科,化学类,开设院校,6450,ISTP/INTJ,
874,信息对抗技术,本科,兵器类,开设院校,6355,ISTP/INTP,
875,飞行器制造工程,本科,航空航天类,开设院校,6290,ISTP/INTP,
876,资源勘查工程,本科,地质类,开设院校,6261,INTJ/ISTJ/INTP,研究型
877,商务经纪与代理,专科（高职）,经济贸易类,开设院校,6207,ESTJ/ISFJ,现实型
878,水土保持与荒漠化防治,本科,自然保护与环境生态类,开设院校,6190,ENTJ/INTJ,社会型
879,香料香精工艺,专科（高职）,轻化工类,开设院校,6184,ISTP,
880,发电厂及电力系统,专科（高职）,电力技术类,开设院校,6169,ISTP/INTJ,
881,卫生监督,专科（高职）,公共卫生与卫生管理类,开设院校,6107,ISFJ/ISFP,管理型
882,公共安全管理,专科（高职）,公安管理类,开设院校,6091,ESTP/ISFJ,现实型
883,空间信息与数字技术,本科,计算机类,开设院校,6089,INTP/INTJ,研究型
884,工程物理,本科,核工程类,开设院校,6058,INTJ/ISTP,研究型
885,飞行技术,本科,交通运输类,开设院校,6020,ISTJ/ISTP/INTP,
886,劳动与社会保障,专科（高职）,公共管理类,开设院校,6019,ENTJ/ISFJ,管理型
887,烟草,本科,植物生产类,开设院校,5926,INTJ/ENFJ/ENFP,研究型
888,建筑设备工程技术,专科（高职）,建筑设备类,开设院校,5866,ISTP/INTP/INTJ,
889,服装设计与工艺教育,本科,纺织类,开设院校,5816,ISTP,
890,遥感科学与技术,本科,测绘类,开设院校,5801,ISTJ/INTJ,研究型
891,土地资源管理,本科,公共管理类,开设院校,5800,ENTJ/ISFJ,管理型
892,部队后勤管理,专科（高职）,公安管理类,开设院校,5784,ESTP/ISFJ,现实型
893,焊接技术与工程,本科,材料类,开设院校,5782,ISTP/INTJ,
894,高分子材料加工技术,专科（高职）,轻化工类,开设院校,5781,ISTP,
895,广播电视技术,专科（高职）,广播影视类,开设院校,5705,INFJ/ISFP/ESFP,艺术型
896,勘查技术与工程,本科,地质类,开设院校,5704,INTJ/ISTJ/INTP,研究型
897,录音艺术,本科,戏剧与影视学类,开设院校,5676,ENFP/ESFP,艺术型
898,财务会计教育,本科,工商管理类,开设院校,5667,ISFJ/ISTP/ESFJ,管理型
899,经济统计学,本科,经济学类,开设院校,5655,ISTJ/INTP,研究型
900,交通管理工程,本科,公安技术类,开设院校,5654,ISTJ/INTP,研究型
901,应用电子技术,专科（高职）,电子信息类,开设院校,5640,ISTP/INTP,
902,应用英语,专科（高职）,语言类,开设院校,5618,ESTP/ESFP,艺术型
903,复合材料与工程,本科,材料类,开设院校,5613,ISTP/INTJ,
904,物业管理,本科,工商管理类,开设院校,5612,ISFJ/ISTP/ESFJ,管理型
905,消防工程,本科,公安技术类,开设院校,5565,ISTJ/ESTP,现实型
906,城市轨道交通运营管理,专科（高职）,城市轨道交通类,开设院校,5561,INTP,现实型、管理型
907,林学,本科,林学类,开设院校,5532,ISFJ,现实型
908,海洋科学,本科,海洋科学类,开设院校,5529,INTJ/ISTJ/ESFJ/ENFP,研究型、现实型
909,船舶与海洋工程,本科,海洋工程类,开设院校,5493,INTJ/ISTJ/ESFJ/ENFP,研究型、现实型
910,国际事务与国际关系,本科,政治学类,开设院校,5437,ISFJ/INTJ/ENTJ,社会型
911,口腔医学技术,专科（高职）,医学技术类,开设院校,5431,ESFJ/ISFJ,研究型
912,治安学,本科,公安学类,开设院校,5424,ESTP/ISFJ,现实型
913,阿拉伯语,本科,外国语言文学类,开设院校,5418,ESTP/INFJ,艺术型
914,音乐教育,专科（高职）,教育类,开设院校,5393,ENFP/ENFJ,社会型
915,旅行社经营管理,专科（高职）,旅游类,开设院校,5357,ESFP/ISFP/ISFJ,管理型
916,生物信息学,本科,生物科学类,开设院校,5351,INTJ,研究型
917,植物科学与技术,本科,植物生产类,开设院校,5346,INTJ/ENFJ/ENFP,研究型
918,消防工程技术,专科（高职）,建筑设备类,开设院校,5342,ISTP/INTP/INTJ,
919,农业资源与环境,本科,自然保护与环境生态类,开设院校,5324,ENTJ/INTJ,社会型
920,刑事科学技术,本科,公安技术类,开设院校,5303,ISFJ/ESTP,管理型、社会型
921,大气科学,本科,大气科学类,开设院校,5296,INTJ,研究型
922,油气储运工程,本科,矿业类,开设院校,5287,INTJ/ISTJ,研究型
923,城市地下空间工程,本科,土木类,开设院校,5286,ISTJ/INTP,研究型
924,生态学,本科,生物科学类,开设院校,5282,INTJ,研究型
925,集装箱运输管理,专科（高职）,水上运输类,开设院校,5265,ESFJ,管理型
926,司法助理,专科（高职）,法律实务类,开设院校,5215,INTJ/ESTP,社会型
927,电气自动化技术,专科（高职）,自动化类,开设院校,5193,ISTP,
928,油气储运技术,专科（高职）,石油与天然气类,开设院校,5192,INTJ/ISTJ,研究型
929,摄影摄像技术,专科（高职）,广播影视类,开设院校,5191,INFJ/ISFP/ESFP,艺术型
930,药物制剂技术,专科（高职）,药品制造类,开设院校,5190,INTJ/ISFJ,研究型
931,冶金工程,本科,材料类,开设院校,5180,ISTP/INTJ,
932,化学工程与工业生物工程,本科,化工与制药类,开设院校,5161,INTJ,研究型
933,医学信息工程,本科,电子信息类,开设院校,5141,ISTP/INTP,
934,人类学,本科,社会学类,开设院校,5111,ISFJ/ESTJ,社会型
935,工商企业管理,专科（高职）,工商管理类,开设院校,5106,ISFJ/ISTP/ESFJ,管理型
936,舞蹈编导,本科,音乐与舞蹈学类,开设院校,5059,ESFP/ESTP,艺术型
937,空间科学与技术,本科,地球物理学类,开设院校,5047,INTJ/ISTP,研究型
938,社会福利事业管理,专科（高职）,公共事业类,开设院校,5015,ISFJ/ESTJ,社会型
939,资源环境科学,本科,环境科学与工程类,开设院校,4953,INTJ/ENTJ,研究型、现实型
940,公安情报学,本科,公安学类,开设院校,4947,ESTP/ISFJ,现实型
941,朝鲜语,本科,外国语言文学类,开设院校,4928,ESTP/INFJ,艺术型
942,电信工程及管理,本科,电子信息类,开设院校,4870,ISTP/INTP,
943,治安管理,专科（高职）,公安管理类,开设院校,4863,ESTP/ISFJ,现实型
944,梵语巴利语,本科,外国语言文学类,开设院校,4856,ESTP/INFJ,艺术型
945,武器系统与工程,本科,兵器类,开设院校,4855,ISTP/INTP,
946,禁毒,专科（高职）,侦查类,开设院校,4850,INTJ/ESTP/ENTJ,社会型
947,种子科学与工程,本科,植物生产类,开设院校,4839,INTJ/ENFJ/ENFP,研究型
948,公路机械化施工技术,专科（高职）,道路运输类,开设院校,4837,ISTJ/ISTP/INTP,
949,林产化工,本科,林业工程类,开设院校,4825,ISTJ,研究型
950,建筑装饰工程技术,专科（高职）,建筑设计类,开设院校,4780,INTP/ISFP,现实型
951,出版与电脑编辑技术,专科（高职）,新闻出版类,开设院校,4777,ESFP/ENFP,艺术型
952,声学,本科,物理学类,开设院校,4732,ISTP/INTP,
953,地理教育,专科（高职）,教育类,开设院校,4731,ENFP/ENFJ,社会型
954,作物生产技术,专科（高职）,农业类,开设院校,4688,INTJ/ISTP/ESFP,现实型、研究型
955,设施农业科学与工程,本科,植物生产类,开设院校,4680,INTJ/ENFJ/ENFP,研究型
956,水利水电建筑工程,专科（高职）,水利工程与管理类,开设院校,4678,ISTJ/ISTP/ESFJ,研究型、管理型
957,制冷与空调技术,专科（高职）,机电设备类,开设院校,4677,ISTP/INTJ,
958,警犬技术,专科（高职）,公安技术类,开设院校,4669,ISFJ/ESTP,管理型、社会型
959,现代纺织技术,专科（高职）,纺织服装类,开设院校,4650,ISTP/ESFP,
960,火灾勘查,本科,公安技术类,开设院校,4631,ISTJ/ESTP,现实型
961,动物药学,本科,动物医学类,开设院校,4627,ESFJ/INTJ,研究型
962,司法警务,专科（高职）,法律执行类,开设院校,4612,INTJ/ESTP,社会型
963,税收学,本科,财政学类,开设院校,4575,INTJ,研究型
964,数学教育,专科（高职）,教育类,开设院校,4557,ENFP/ENFJ,社会型
965,种子生产与经营,专科（高职）,农业类,开设院校,4541,INTJ/ISTP/ESFP,现实型、研究型
966,电线电缆制造技术,专科（高职）,机械设计制造类,开设院校,4540,ISTP,
967,作曲与作曲技术理论,本科,音乐与舞蹈学类,开设院校,4532,ESFP/ESTP,艺术型
968,制浆造纸技术,专科（高职）,轻化工类,开设院校,4508,ISTP,
969,中草药栽培与鉴定,本科,中药学类,开设院校,4506,ISFJ/ESFJ,研究型
970,城市燃气工程技术,专科（高职）,市政工程类,开设院校,4500,ISTJ/ISTP/INTP,
971,葡萄与葡萄酒工程,本科,食品科学与工程类,开设院校,4475,ESFJ/ESTP,研究型
972,财政,专科（高职）,财政税务类,开设院校,4470,INTJ,研究型
974,旅游管理与服务教育,本科,旅游管理类,开设院校,4456,ESFP/ESTP,管理型
973,电子测量技术与仪器,专科（高职）,电子信息类,开设院校,4456,ISTP/INTP,
975,通信系统运行管理,专科（高职）,通信类,开设院校,4423,INTP/ENTJ,研究型、管理型
976,英语教育,专科（高职）,教育类,开设院校,4421,ENFP/ENFJ,社会型
977,核化工与核燃料工程,本科,核工程类,开设院校,4400,INTJ/ISTP,研究型
978,舞蹈学,本科,音乐与舞蹈学类,开设院校,4380,ESFP/ESTP,艺术型
979,农林经济管理,本科,农业经济管理类,开设院校,4379,INTJ,研究型
980,水产养殖学,本科,水产类,开设院校,4358,ESFJ/INTJ,研究型
981,影视动画,专科（高职）,广播影视类,开设院校,4358,INFJ/ISFP/ESFP,艺术型
982,海洋技术,本科,海洋科学类,开设院校,4331,INTJ/ISTJ/ESFJ/ENFP,研究型、现实型
983,理论与应用力学,本科,力学类,开设院校,4330,ISTP/INTJ,
984,参谋业务,专科（高职）,公安指挥类,开设院校,4329,ESTP/ISFJ,现实型
985,环境艺术设计,专科（高职）,艺术设计类,开设院校,4301,ISFP,艺术型
986,表面精饰工艺,专科（高职）,轻化工类,开设院校,4294,ISTP,
987,汉语,专科（高职）,语言类,开设院校,4293,ESTP/ESFP,艺术型
988,警犬技术,本科,公安学类,开设院校,4290,ESTP/ISFJ,现实型
989,包装工程,本科,轻工类,开设院校,4279,ISTP,
990,地下水科学与工程,本科,地质类,开设院校,4279,INTJ/ISTJ/INTP,研究型
991,农艺教育,本科,植物生产类,开设院校,4221,INTJ/ENFJ/ENFP,社会型、现实型
992,模具设计与制造,专科（高职）,机械设计制造类,开设院校,4214,ISTP,
993,法律文秘,专科（高职）,法律实务类,开设院校,4195,INTJ/ESTP,社会型
994,瑞典语,本科,外国语言文学类,开设院校,4168,ESTP/INFJ,艺术型
995,汽车制造与装配技术,专科（高职）,汽车制造类,开设院校,4160,ISTP,
996,矿物加工工程,本科,矿业类,开设院校,4154,INTJ/ISTJ,研究型
997,移动通信技术,专科（高职）,通信类,开设院校,4151,INTP/ENTJ,研究型
998,农村区域发展,本科,农业经济管理类,开设院校,4147,INTJ,研究型
999,轻化工程,本科,轻工类,开设院校,4145,ISTP,
1000,部队政治工作,专科（高职）,公安管理类,开设院校,4128,ESTP/ISFJ,现实型
1001,思想政治教育,专科（高职）,教育类,开设院校,4115,ENFP/ENFJ,社会型
1002,农村能源与环境技术,专科（高职）,新能源发电工程类,开设院校,4100,INTJ/ISTP/INTP/ENTJ,研究型
1003,投资与理财,专科（高职）,金融类,开设院校,4087,ISTJ/INTP,研究型
1004,历史建筑保护工程,本科,建筑类,开设院校,4079,INTP/ISTJ,现实型
1005,工业设备安装工程技术,专科（高职）,建筑设备类,开设院校,4075,ISTP/INTP/INTJ,
1006,食品营养与检验教育,本科,食品科学与工程类,开设院校,4069,ESFJ/ESTP,研究型
1007,挪威语,本科,外国语言文学类,开设院校,4057,ESTP/INFJ,艺术型
1008,服装表演,专科（高职）,表演艺术类,开设院校,4055,INTJ/INFP/ENFP,艺术型
1009,给排水工程技术,专科（高职）,市政工程类,开设院校,4045,ISTJ/ISTP/INTP,
1010,海洋渔业科学与技术,本科,水产类,开设院校,4044,ESFJ/INTJ,研究型
1011,航海技术,本科,交通运输类,开设院校,4037,ISTJ/ISTP/INTP,
1012,通信技术,专科（高职）,通信类,开设院校,4023,INTP/ENTJ,研究型
1013,摄影测量与遥感技术,专科（高职）,测绘地理信息类,开设院校,4000,ISTJ/INTJ,研究型
1014,轮机工程技术,专科（高职）,水上运输类,开设院校,3996,ISTP,
1015,酿酒工程,本科,食品科学与工程类,开设院校,3958,ESFJ/ESTP,研究型
1016,商务日语,专科（高职）,语言类,开设院校,3957,ESTP/ESFP,艺术型
1017,商务英语,专科（高职）,语言类,开设院校,3938,ESTP/ESFP,艺术型
1018,维药学,专科（高职）,药学类,开设院校,3929,INTJ/ISFJ,研究型
1019,电磁场与无线技术,本科,电子信息类,开设院校,3923,ISTP/INTP,
1020,蒙医学,专科（高职）,临床医学类,开设院校,3916,INTJ/ISFJ/ESFJ,研究型
1021,农业机械化及其自动化,本科,农业工程类,开设院校,3894,ISTJ/INTJ/ISTP/INTP,研究型
1022,经济犯罪侦查,本科,公安学类,开设院校,3885,ESTP/ISFJ,现实型
1023,航空电子电气技术,专科（高职）,航空装备类,开设院校,3878,ISTP/INTP,
1024,港口航道与海岸工程,本科,水利类,开设院校,3860,ESFJ/ISTJ,现实型
1025,广播电视工程,本科,电子信息类,开设院校,3834,ISTP/INTP,
1026,森林生态旅游,专科（高职）,林业类,开设院校,3786,ISTJ/ISFJ,现实型
1027,海洋药学,本科,药学类,开设院校,3764,INTJ/ISFJ,研究型
1028,卫生信息管理,专科（高职）,公共卫生与卫生管理类,开设院校,3762,ISFJ/ISFP,管理型
1029,针织技术与针织服装,专科（高职）,纺织服装类,开设院校,3748,ISTP/ESFP,
1030,弹药工程与爆炸技术,本科,兵器类,开设院校,3735,ISTP/INTP,
1031,汽车维修工程教育,本科,机械类,开设院校,3727,ISTP/ENFJ,
1032,市政工程技术,专科（高职）,市政工程类,开设院校,3714,ISTJ/ISTP/INTP,
1033,应用气象技术,专科（高职）,气象类,开设院校,3694,INTJ,研究型
1034,水务工程,本科,水利类,开设院校,3693,ESFJ/ISTJ,现实型
1035,中国少数民族语言文学,本科,中国语言文学类,开设院校,3688,ESTP,艺术型
1036,司法信息安全,专科（高职）,司法技术类,开设院校,3684,ESTP/INTJ,现实型、社会型
1037,导游,专科（高职）,旅游类,开设院校,3682,ESFP/ISFP/ISFJ,管理型
1038,内燃机制造与维修,专科（高职）,机械设计制造类,开设院校,3627,ISTP,
1039,草业科学,本科,草学类,开设院校,3618,INTJ,研究型
1040,戏剧学,本科,戏剧与影视学类,开设院校,3596,ENFP/ESFP,艺术型
1041,应用电子技术教育,本科,电子信息类,开设院校,3595,ISTP/INTP,
1042,保险学,本科,金融学类,开设院校,3591,ISTJ/INTP,研究型
1043,政治学与行政学,本科,政治学类,开设院校,3583,ISFJ/INTJ/ENTJ,社会型
1044,波斯语,本科,外国语言文学类,开设院校,3577,ESTP/INFJ,艺术型
1045,农业经济管理,专科（高职）,农业类,开设院校,3566,INTJ/ISTP/ESFP,现实型、研究型
1046,保健品开发与管理,专科（高职）,食品药品管理类,开设院校,3559,ESFJ/ESTP,研究型
1047,精算学,本科,金融学类,开设院校,3547,ISTJ/INTP,研究型
1048,市场营销教育,本科,工商管理类,开设院校,3533,ISFJ/ISTP/ESFJ,管理型
1049,教育技术学,本科,教育学类,开设院校,3511,ENFP/ENFJ,社会型
1050,商务管理,专科（高职）,工商管理类,开设院校,3511,ISFJ/ISTP/ESFJ,管理型
1051,管道工程技术,专科（高职）,管道运输类,开设院校,3503,ISTP/ISTJ,
1052,社会工作,本科,社会学类,开设院校,3465,ISFJ/ESTJ,社会型
1053,水文与水资源工程,本科,水利类,开设院校,3440,ESFJ/ISTJ,现实型
1054,数控设备应用与维护,专科（高职）,机电设备类,开设院校,3435,ISTP/INTJ,
1055,纺织工程,本科,纺织类,开设院校,3430,ISTP,
1056,机电技术教育,本科,机械类,开设院校,3427,ISTP/ENFJ,
1057,芬兰语,本科,外国语言文学类,开设院校,3423,ESTP/INFJ,艺术型
1058,思想政治教育,本科,马克思主义理论类,开设院校,3402,INTJ/ENTP,社会型
1059,劳动关系,本科,工商管理类,开设院校,3401,ISFJ/ISTP/ESFJ,管理型
1060,科学教育,专科（高职）,教育类,开设院校,3394,ENFP/ENFJ,社会型
1061,藏医学,专科（高职）,临床医学类,开设院校,3382,INTJ/ISFJ/ESFJ,研究型
1062,水务管理,专科（高职）,水利工程与管理类,开设院校,3381,ISTJ/ISTP/ESFJ,研究型、管理型
1063,大气科学技术,专科（高职）,气象类,开设院校,3369,INTJ,研究型
1064,木材科学与工程,本科,林业工程类,开设院校,3367,ISTJ,研究型
1065,食品生物技术,专科（高职）,生物技术类,开设院校,3362,INTJ,研究型
1066,粉体材料科学与工程,本科,材料类,开设院校,3361,ISTP/INTJ,
1067,边防检查,专科（高职）,公安管理类,开设院校,3360,ESTP/ISFJ,现实型
1068,园艺教育,本科,植物生产类,开设院校,3353,INTJ/ENFJ/ENFP,社会型、现实型
1069,电子产品质量检测,专科（高职）,电子信息类,开设院校,3342,ISTP/INTP,
1070,中草药栽培技术,专科（高职）,农业类,开设院校,3330,INTJ/ISTP/ESFP,现实型、研究型
1071,供热通风与空调工程技术,专科（高职）,建筑设备类,开设院校,3330,ISTP/INTP/INTJ,
1072,民事执行,专科（高职）,法律执行类,开设院校,3315,INTJ/ESTP,社会型
1073,消防指挥,本科,公安学类,开设院校,3278,ESTP/ISFJ,现实型
1074,维医学,本科,中医学类,开设院校,3262,ESFJ/ISFJ,研究型
1075,资产评估与管理,专科（高职）,财政税务类,开设院校,3260,INTJ,研究型
1076,木材加工技术,专科（高职）,林业类,开设院校,3255,ISTJ/ISFJ,现实型
1077,精密机械技术,专科（高职）,机械设计制造类,开设院校,3246,ISTP,
1078,孟加拉语,本科,外国语言文学类,开设院校,3244,ESTP/INFJ,艺术型
1079,钻探技术,专科（高职）,地质类,开设院校,3244,INTJ/ISTJ/INTP,研究型
1080,边防管理,本科,公安学类,开设院校,3235,ESTP/ISFJ,现实型
1081,应用阿拉伯语,专科（高职）,语言类,开设院校,3213,ESTP/ESFP,艺术型
1082,艺术教育,专科（高职）,教育类,开设院校,3212,ENFP/ENFJ,艺术型
1083,大气探测技术,专科（高职）,气象类,开设院校,3189,INTJ,研究型
1084,水族科学与技术,本科,水产类,开设院校,3177,ESFJ/INTJ,研究型
1085,煤矿开采技术,专科（高职）,煤炭类,开设院校,3160,ISTP/INTJ,
1086,纺织品检验与贸易,专科（高职）,纺织服装类,开设院校,3158,ISTP/ESFP,
1087,动植物检疫,本科,动物医学类,开设院校,3140,ESFJ/INTJ,研究型
1088,雕塑,本科,美术学类,开设院校,3121,INTJ/INFP,艺术型
1089,煤田地质与勘查技术,专科（高职）,资源勘查类,开设院校,3107,ISTP,
1090,海事管理,本科,公共管理类,开设院校,3104,ENTJ/ISFJ,管理型
1091,建筑经济管理,专科（高职）,建设工程管理类,开设院校,3093,ENTJ/INTP/ISTJ,管理型
1092,舞蹈教育,专科（高职）,教育类,开设院校,3084,ENFP/ENFJ,艺术型
1093,矿物资源工程,本科,矿业类,开设院校,3083,INTJ/ISTJ,研究型
1094,民航运输,专科（高职）,航空运输类,开设院校,3081,ISTP/INTP,
1095,工程测量技术,专科（高职）,测绘地理信息类,开设院校,3073,ISTJ/INTJ,研究型
1096,藏医学,本科,中医学类,开设院校,3068,ESFJ/ISFJ,研究型
1097,汽车电子技术,专科（高职）,汽车制造类,开设院校,3068,ISTP,
1098,中药资源与开发,本科,中药学类,开设院校,3066,ISFJ/ESFJ,研究型
1099,建筑电气工程技术,专科（高职）,建筑设备类,开设院校,3061,ISTP/INTP/INTJ,
1100,应用化工技术,专科（高职）,化工技术类,开设院校,3026,INTJ/ENTJ,研究型、现实型
1101,版面编辑与校对,专科（高职）,新闻出版类,开设院校,3023,ESFP/ENFP,艺术型
1102,管道运输管理,专科（高职）,管道运输类,开设院校,2989,ESFJ,管理型
1103,证券与期货,专科（高职）,金融类,开设院校,2987,ISTJ/INTP,研究型
1104,呼吸治疗技术,专科（高职）,医学技术类,开设院校,2986,ESFJ/ISFJ,研究型
1105,安全防范技术,专科（高职）,司法技术类,开设院校,2983,ESTP/INTJ,现实型、社会型
1106,农业水利工程,本科,农业工程类,开设院校,2980,ISTJ/INTJ/ISTP/INTP,研究型
1107,豪萨语,本科,外国语言文学类,开设院校,2979,ESTP/INFJ,艺术型
1108,水政水资源管理,专科（高职）,水文水资源类,开设院校,2972,ESFJ/ISTJ,现实型
1109,社区管理与服务,专科（高职）,公共事业类,开设院校,2972,ISFJ/ESTJ,社会型
1110,中国少数民族语言文化,专科（高职）,民族文化类,开设院校,2957,INTP/INFP,艺术型
1111,美术教育,专科（高职）,教育类,开设院校,2940,ENFP/ENFJ,艺术型
1112,探测制导与控制技术,本科,兵器类,开设院校,2918,ISTP/INTP,
1113,经济信息管理,专科（高职）,经济贸易类,开设院校,2902,ESTJ/ISFJ,管理型
1114,蚕学,本科,动物生产类,开设院校,2901,INTJ/ESFJ,研究型
1115,应用日语,专科（高职）,语言类,开设院校,2898,ESTP/ESFP,艺术型
1116,运动人体科学,本科,体育学类,开设院校,2885,ISTP,
1117,飞行器环境与生命保障工程,本科,航空航天类,开设院校,2884,ISTP/INTP,
1118,丝绸技术,专科（高职）,纺织服装类,开设院校,2867,ISTP/ESFP,
1119,边防指挥,专科（高职）,公安指挥类,开设院校,2857,ESTP/ISFJ,现实型
1121,青少年工作与管理,专科（高职）,公共事业类,开设院校,2849,ISFJ/ESTJ,社会型
1120,水文与工程地质,专科（高职）,地质类,开设院校,2849,INTJ/ISTJ/INTP,研究型
1122,运动训练,专科（高职）,体育类,开设院校,2845,ISTP,
1123,维医学,专科（高职）,临床医学类,开设院校,2834,INTJ/ISFJ/ESFJ,研究型
1124,会展策划与管理,专科（高职）,会展类,开设院校,2822,ESFP/ENTP,管理型
1125,美术,专科（高职）,艺术设计类,开设院校,2821,ISFP,艺术型
1126,丹麦语,本科,外国语言文学类,开设院校,2797,ESTP/INFJ,艺术型
1127,蒙药学,本科,中药学类,开设院校,2795,ISFJ/ESFJ,研究型
1128,水利工程,专科（高职）,水利工程与管理类,开设院校,2788,ISTJ/ISTP/ESFJ,研究型、管理型
1129,文秘,专科（高职）,文秘类,开设院校,2786,ESFJ/ISFJ,研究型
1130,农业建筑环境与能源工程,本科,农业工程类,开设院校,2768,ISTJ/INTJ/ISTP/INTP,研究型
